TYPE,X,Y,Z
Small 1,6.491,2.165,6.492
Small 2,2.159,6.491,6.491
Small 3,6.485,6.494,2.164
Small 4,10.824,2.164,10.819
Small 5,2.159,10.817,10.818
Small 6,10.819,10.821,2.164
Small 7,10.822,15.147,6.491
Small 8,15.154,10.821,6.49
Small 9,6.489,15.144,10.819
Small 10,15.154,6.49,10.819
Small 11,6.484,10.816,15.146
Small 12,10.82,6.49,15.146
Small 13,15.097,2.213,15.359
Small 14,2.164,15.147,15.147
Small 15,15.146,15.147,2.163
Small 16,2.164,2.163,2.163
Large 1,8.651,8.655,8.654
Large 2,4.322,4.327,12.984
Large 3,12.991,4.327,4.326
Large 4,4.319,12.983,4.326
Large 5,12.988,12.983,12.984
Large 6,0.004,0,8.655
Large 7,8.655,0,0.001
Large 8,0,8.655,0
